N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,600",700,+1.00%,100,"4,214,666","5,969,783",51.17,"10,038,131",14.87,9.99,
2,SK하이닉스,"106,500","1,000",-0.93%,"5,000","775,323","728,002",47.56,"1,779,784",13.32,9.53,
3,NAVER,"409,000","2,000",+0.49%,100,"671,837","164,263",56.74,"411,173",4.07,15.22,
4,카카오,"127,000","1,500",+1.20%,100,"566,037","445,698",30.54,"2,091,033",118.36,2.70,
5,삼성바이오로직스,"833,000","14,000",+1.71%,"2,500","551,154","66,165",10.59,"46,317",164.62,N/A,
6,LG화학,"774,000","17,000",+2.25%,"5,000","546,385","70,592",47.33,"194,456",20.85,2.93,
7,삼성전자우,"65,500",600,+0.92%,100,"538,991","822,887",74.41,"648,389",13.79,N/A,
8,삼성SDI,"751,000","2,000",-0.27%,"5,000","516,422","68,765",45.58,"180,861",55.64,4.54,
9,현대차,"208,000","3,000",+1.46%,"5,000","444,430","213,668",28.86,"413,881",15.07,2.04,
10,기아,"86,800","2,900",+3.46%,"5,000","351,855","405,363",35.49,"1,438,377",10.13,5.05,
11,카카오뱅크,"62,100","3,000",+5.08%,"5,000","295,037","475,100",4.94,"2,885,869",200.97,5.08,
12,셀트리온,"213,500","1,000",+0.47%,"1,000","294,491","137,935",20.66,"1,552,095",50.06,16.68,
13,크래프톤,"547,000","7,000",+1.30%,100,"267,792","48,957",6.67,"1,342,819",47.09,61.86,
14,POSCO,"285,000","10,500",+3.83%,"5,000","248,482","87,187",53.40,"499,219",6.44,3.61,
15,KB금융,"56,400",500,+0.89%,"5,000","234,516","415,808",68.96,"686,018",5.56,8.53,
16,현대모비스,"243,000","1,500",+0.62%,"5,000","230,347","94,793",34.63,"161,345",10.43,4.66,
17,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44,
18,삼성물산,"112,500","1,500",+1.35%,100,"210,248","186,887",14.98,"393,809",12.83,3.81,
19,SK이노베이션,"226,500","4,000",+1.80%,"5,000","209,434","92,466",24.78,"315,319",-46.92,-13.58,
20,카카오페이,"157,500","12,000",+8.25%,500,"205,328","130,367",45.17,"696,563",-783.58,-17.97,
21,LG전자,"122,000","4,500",+3.83%,"5,000","199,650","163,648",29.93,"731,197",14.76,13.23,
22,신한지주,"37,550",300,+0.81%,"5,000","193,983","516,600",60.41,"704,744",4.86,8.20,
23,LG생활건강,"1,215,000","24,000",+2.02%,"5,000","189,761","15,618",44.35,"35,141",25.51,17.92,
24,SK바이오사이언스,"237,000","14,000",+6.28%,500,"181,305","76,500",5.66,"719,385",115.44,13.25,
25,SK,"247,000","14,000",+6.01%,200,"173,790","70,360",19.19,"400,352",15.94,1.11,
26,엔씨소프트,"715,000","71,000",-9.03%,500,"156,971","21,954",44.52,"1,394,651",38.38,20.83,
27,하이브,"396,500","7,500",+1.93%,500,"154,836","39,051",16.48,"310,558",141.05,12.52,
28,한국전력,"23,150",350,+1.54%,"5,000","148,615","641,964",14.81,"1,284,862",12.47,2.91,
29,LG,"90,000",800,+0.90%,"5,000","141,571","157,301",33.83,"152,792",5.64,7.50,
30,두산중공업,"26,200",400,+1.55%,"5,000","135,901","518,707",8.13,"12,539,952",-62.23,-37.20,
31,삼성생명,"66,500",600,+0.91%,500,"133,000","200,000",12.41,"252,112",7.59,3.53,
32,하나금융지주,"43,550",350,+0.81%,"5,000","130,755","300,242",67.85,"679,731",4.30,8.96,
33,SK아이이테크놀로지,"176,000","15,000",+9.32%,"1,000","125,484","71,298",9.14,"1,476,984",115.71,11.00,
34,삼성전기,"164,500","5,500",+3.46%,"5,000","122,871","74,694",30.67,"647,942",14.34,10.92,
35,삼성에스디에스,"154,500","1,500",+0.98%,500,"119,549","77,378",11.41,"86,152",18.55,6.71,
36,KT&G,"85,000",100,-0.12%,"5,000","116,699","137,292",36.85,"378,420",10.54,13.22,
37,넷마블,"132,500","2,500",-1.85%,100,"113,888","85,954",23.28,"671,623",39.80,6.35,
38,HMM,"27,300",150,-0.55%,"5,000","110,672","405,392",11.22,"12,822,285",17.29,8.93,
39,포스코케미칼,"142,500","2,500",+1.79%,500,"110,385","77,463",7.22,"293,449",102.96,2.96,
40,S-Oil,"96,700",900,+0.94%,"2,500","108,868","112,583",78.30,"130,353",12.43,-13.07,
41,아모레퍼시픽,"185,000","2,000",+1.09%,500,"108,212","58,493",31.84,"125,931",85.85,0.78,
42,삼성화재,"225,500","4,500",+2.04%,500,"106,830","47,375",48.85,"72,589",10.68,4.96,
43,대한항공,"30,550",0,0.00%,"5,000","106,259","347,821",11.74,"1,066,778",15.94,-7.22,
44,현대중공업,"112,000",0,0.00%,"5,000","99,426","88,773",1.64,"167,849",-10.12,-7.86,
45,우리금융지주,"13,150",50,+0.38%,"5,000","95,740","728,061",29.35,"1,829,143",4.60,5.87,
46,고려아연,"505,000","18,000",+3.70%,"5,000","95,294","18,870",18.55,"64,806",13.18,8.37,
